Reviews,Summary
"['кроссовки удобный быстро порваться', 'лёгкий скользкий мокром асфальт', 'размер размер не натирать', 'через месяц начать отклеиваться подошва', 'отличный носить каждый день']","Кроссовки удобные и лёгкие, но не очень долговечные. На мокром асфальте могут скользить."
"['телефон быстрый батарея держать долго', 'после обновление начать тормозить', 'камера отличный днём ночь так', 'динамик слабый звук глухой', 'свой деньга топ']","Телефон хороший за свою цену. Камера хорошая днём, батарея держит долго, но динамик слабый, а после обновлений возможны лаги."
"['чайник красивый шумный', 'пахнуть пластик даже после неделя', 'кипятить быстро течёт снизу', 'крышка тугой неудобный наливать', 'работать нормально второй не купить']","Чайник быстро кипятит воду и выглядит стильно, но шумный, может протекать, а крышка неудобная."
"['качество норма после стирка ткань стать жёсткий', 'цвет не совпадать фото ожидать другого', 'размерный сетка странный прийтись вернуть', 'отличный футболка приятный тело', 'шов кривая нитка торчать такой цена ожидать хороший']","Футболка приятная к телу, но могут быть проблемы с качеством ткани, цветом и размером."
"['телефон красивый корпус маркий – оставаться отпечаток', 'производительность хороший быстро нагреваться', 'батарея слабый приходиться заряжать раз день', 'камера супер особенно портретный режим', 'цена нормальный вариант не минус']","Телефон с хорошей камерой и производительностью, но быстро нагревается, батарея слабая, а корпус маркий."
"['рюкзак вместительный молния заедать', 'ткань качественный лямки быстро начать протираться', 'носить месяц – весь ок карманов маловато', 'ожидать что будет целом удобный', 'после дождь намокать хотя обещать водостойкость']","Рюкзак удобный и вместительный, но качество фурнитуры и водостойкость оставляют вопросы."
"['кофемашина варить вкусный кофе шумный', 'неудобный контейнер для вод сложный наливать', 'через месяц работа начать подтекать', 'отличный капучинатор пенка густой', 'инструкция неочевидный долго разбирался']","Кофемашина варит хороший кофе, но шумная, может подтекать, а инструкция сложная."
"['час красивый ремешок жёсткий неудобный носить', 'батарея держать день приходиться постоянно заряжать', 'функция полезный шагомер врёт', 'синхронизация телефон отваливается', 'экран яркий солнце всё видно']","Часы стильные и с хорошим экраном, но ремешок неудобный, батарея слабая, а шагомер не всегда точен."
"['кастрюля тяжёлый готовить удобный', 'эмаль начать облезать через пара неделя', 'ручка нагреваться нужный прихват', 'пища не пригорать покрытие хороший', 'дно тонкий быстро остывать']","Кастрюля удобная для готовки, но тяжёлая, ручки нагреваются, а эмаль может облезать."
"['наушник классный ухо уставать через час', 'бас мощный средний частота слабый', 'блютуз соединение пропадать', 'дизайн крутой сидеть плотно', 'микрофон слабый собеседник плохо слышать']","Наушники с хорошим басом и дизайном, но могут давить, блютуз нестабильный, а микрофон слабый."
