,User review,Review date,Star review,Text length,Has media,Has answer
0,"Все работает,отличный пылесос",2025-03-14,5,29,0,1
1,"Достоинства: Упакован хорошо, спасибо  продавцу",2025-03-14,5,46,0,1
2,"Достоинства: Маленький, компактный за такие деньги норм, в машине еще не пробовали, но по дому норм.",2025-03-14,5,99,0,1
3,"Достоинства: Маленький и мощный, ещё и сумка есть",2025-03-13,5,48,0,1
4,"Пылесос просто огонь, рекомендую продовца, спасибо за подарок",2025-03-12,5,61,0,1
5,"Достоинства: Пылесос супер, рекомендую к покупке.",2025-03-12,5,48,0,1
6,"Достоинства: Хороший пылесос, упакован был в коробке , комплектация полная, но сделал возврат, выбрал другой",2025-03-12,5,107,0,1
7,Достоинства: очень хороший пылесос,2025-03-12,5,33,0,1
8,"Достоинства: Покупала мужу на подарок, доволен",2025-03-10,5,45,0,1
9,"Достоинства: Испытали дома, забирает пыль, мелкий керамзит.\nНедостатки: Плохо держится трубка\nКомментарий: Пришёл в коробке. Комплектация полная. В деле очень понравился. Заряжается быстро.",2025-03-09,5,186,0,1
10,"Достоинства: Пылесос отличный,мусор убирает на ура! Спасибо продавцу!\nНедостатки: Все так!",2025-03-09,5,88,0,1
11,"Достоинства: Всё пришло быстро, работает и комплектно. Спасибо",2025-03-09,5,61,1,1
12,Достоинства: Все понравилось \nВсе супер советую\nНедостатки: Нет,2025-03-08,5,61,0,1
13,"Нормальный пылесос. Проверил по таймеру - 20 минут после полной зарядки. Убирать в салоне а/м - самое то, если сразу после перевозки, ну или крошки со стола, волосы в ванной. Делать уборку в квартире - сразу нет.",2025-03-07,5,212,0,1
14,Достоинства: Работает на ура,2025-03-07,5,27,0,1
15,Достоинства: Всё работает маленький по мере мощный! С домашним пылесосом не сравнивать! Спасибо продавцу,2025-03-07,5,103,1,1
16,Достоинства: Все работает\nНедостатки: Не доложили щетку не приятно,2025-03-06,3,64,0,1
17,"Достоинства: Крутой пылесос. За такую сумму вообще находка. Покупала мужу для машины но уже опробовала на диване. Кошачью шерсть влет убирает. Спасибо огромное. И отдельное спасибо продавцу за наклеички, дочка будет в восторге. Порадовало и то что очень быстрая доставка. Вообщем все супер. Больших вам продаж.",2025-03-05,5,309,0,1
18,"Недостатки: Чехол разодран. Одна насадка с переходником не входит, велика для пылесоса.",2025-03-05,1,86,0,0
19,"Достоинства: Пылесос понравился. Упаковка хорошая, положили подарочек 😊\nМощность соответствует заявленной. Лёгкий, в руке держать удобно. Доставка быстрая. Спасибо продавцу.",2025-03-04,5,172,1,1
20,"Пришёл не рабочий, не заряжается совсем. Брат остался без подарка(",2025-03-04,1,66,0,1
21,Достоинства: Комплектация\nНедостатки: Слабенький\nКомментарий: Собирать крошки после ребенка пойдет),2025-03-04,4,96,0,1
22,Достоинства: Все супер\nНедостатки: Все ок\nКомментарий: Всё работает . Спасибо за подарок 🤗,2025-03-04,5,87,1,1
