,User review,Review date,Star review,Text length,Has media,Has answer
0,"Взял в машину и доволен как слон. Очень мощный. Скоро у друга день рождения, хочу и ему такой задарить",2023-11-19,5,102,1,1
1,"\nВсе работает,отличный пылесос",2025-03-14,5,30,0,1
2,"\nДостоинства: Упакован хорошо, спасибо  продавцу",2025-03-14,5,47,0,1
3,"\nДостоинства: Маленький, компактный за такие деньги норм, в машине еще не пробовали, но по дому норм.",2025-03-14,5,100,0,1
4,"\nДостоинства: Маленький и мощный, ещё и сумка есть",2025-03-13,5,49,0,1
5,\nчерный,2025-03-12,5,7,0,1
6,"\nДостоинства: Пылесос супер, рекомендую к покупке.",2025-03-12,5,49,0,1
7,"\nДостоинства: Хороший пылесос, упакован был в коробке , комплектация полная, но сделал возврат, выбрал другой",2025-03-12,5,108,0,1
8,\nДостоинства: очень хороший пылесос,2025-03-12,5,34,0,1
9,"\nДостоинства: Покупала мужу на подарок, доволен",2025-03-10,5,46,0,1
10,"\nДостоинства: Испытали дома, забирает пыль, мелкий керамзит.\nНедостатки: Плохо держится трубка\nКомментарий: Пришёл в коробке. Комплектация полная. В деле очень понравился. Заряжается быстро.",2025-03-09,5,187,0,1
11,"\nДостоинства: Пылесос отличный,мусор убирает на ура! Спасибо продавцу!\nНедостатки: Все так!",2025-03-09,5,89,0,1
12,"\nДостоинства: Всё пришло быстро, работает и комплектно. Спасибо",2025-03-09,5,62,1,1
13,\nДостоинства: Все понравилось \nВсе супер советую\nНедостатки: Нет,2025-03-08,5,62,0,1
14,"\nНормальный пылесос. Проверил по таймеру - 20 минут после полной зарядки. Убирать в салоне а/м - самое то, если сразу после перевозки, ну или крошки со стола, волосы в ванной. Делать уборку в квартире - сразу нет.",2025-03-07,5,213,0,1
15,\nДостоинства: Работает на ура,2025-03-07,5,28,0,1
16,\nДостоинства: Всё работает маленький по мере мощный! С домашним пылесосом не сравнивать! Спасибо продавцу,2025-03-07,5,104,1,1
17,\nчерный\nДостоинства: \nНедостатки: ,2025-03-06,3,32,0,1
18,"\nДостоинства: Крутой пылесос. За такую сумму вообще находка. Покупала мужу для машины но уже опробовала на диване. Кошачью шерсть влет убирает. Спасибо огромное. И отдельное спасибо продавцу за наклеички, дочка будет в восторге. Порадовало и то что очень быстрая доставка. Вообщем все супер. Больших вам продаж.",2025-03-05,5,310,0,1
19,\nчерный\nНедостатки: ,2025-03-05,1,19,0,0
20,\nчерный\nДостоинства: ,2025-03-04,5,20,1,1
21,"\nПришёл не рабочий, не заряжается совсем. Брат остался без подарка(",2025-03-04,1,67,0,1
22,\nчерный\nДостоинства: \nНедостатки: \nКомментарий: ,2025-03-04,4,45,0,1
23,\nДостоинства: Все супер\nНедостатки: Все ок\nКомментарий: Всё работает . Спасибо за подарок 🤗,2025-03-04,5,88,1,1
24,"\nДостоинства: Мощности хватает для уборки автосалона, небольшой точечной уборки дома, всасывает пыль и мелкий мусор отлично.\nКомментарий: Хороший компактный пылесос, не хлипкий, насадки все пригодились. В бумажной инструкции указаны другие насадки, но в карточке товара на ВБ всё чётко:  что указано, то и пришло. Зарядки хватает на то, чтобы сделать уборку в автосалоне, заряжается сам пылесос недолго. \nСпасибо за наклейки в подарок. : ) Дети оценили.\nЕщё",2025-03-04,5,453,0,1
25,"\nДостоинства: Лёгкий, компактный, количество насадок.\nКомментарий: Хороший пылесос, со своей задачей справляется! Хорошая мощность для такого малыша! Покупкой довольна! Рекомендую товар и продавца!",2025-03-03,5,195,0,1
26,\nДостоинства: Класс,2025-03-03,5,18,0,1
27,\nчерный,2025-03-02,5,7,0,1
28,\nчерный\nДостоинства: ,2025-03-02,5,20,0,1
29,"\nХороший, недорогой и очень нужный ,,помощник,,. упаковано в коробочку. Комплект полный. Доставка быстрая, что тоже радует. Рекомендую. 👍👍👍",2025-03-02,5,139,0,1
30,\nДостоинства: Купила мужу на подарок в машину. Очень доволен. Рекомендую к покупке,2025-02-28,5,81,0,1
