,User review,Review date,Star review,Text length,Has media,Written by bot
0,"Отличный товар, всем рекомендую! Качество на высоте, буду заказывать ещё.",2024-09-30,5,66,True,1
1,Превзошло все мои ожидания! Советую всем друзьям.,2024-09-29,5,51,False,1
2,"Купил и остался доволен, за такие деньги лучше не найти.",2024-09-28,5,54,False,1
3,"Очень хорошее качество, всем советую этот продукт!",2024-09-27,5,54,True,1
4,"Заказываю не первый раз, всегда всё отлично.",2024-09-26,5,49,False,1
5,"Прекрасный продукт, ничего лучше не видел!",2024-09-25,5,46,True,1
6,"Очень доволен покупкой, всем рекомендую!",2024-09-24,5,45,False,1
7,Продукт просто бомба! Никаких нареканий.,2024-09-23,5,46,True,1
8,Не ожидал такого отличного качества! Закажу ещё.,2024-09-22,5,54,True,1
9,"Супер товар, рекомендую всем!",2024-09-21,5,33,False,1
10,"Лучший товар на рынке, качество поражает!",2024-09-20,5,49,True,1
11,"Советую всем, превосходный товар, буду брать ещё!",2024-09-19,5,52,False,1
12,"Давно искал такой продукт, и наконец нашел!",2024-09-18,5,51,True,1
13,"Лучшее соотношение цены и качества, советую всем!",2024-09-17,5,57,False,1
14,"Отличное качество, очень доволен покупкой!",2024-09-16,5,47,True,1
15,Не могу не рекомендовать! Всё идеально.,2024-09-15,5,45,False,1
16,"Идеальный продукт, соответствует всем ожиданиям!",2024-09-14,5,53,True,1
17,"Всё просто отлично, качество на высоте!",2024-09-13,5,45,False,1
18,"Продукт удивил качеством, точно буду брать ещё.",2024-09-12,5,50,True,1
19,"Нереально крутой товар, рекомендую всем друзьям!",2024-09-11,5,52,False,1
20,"Товар просто шикарен, превзошел все ожидания!",2024-09-10,5,50,True,1
21,"Лучший продукт, что я когда-либо покупал!",2024-09-09,5,45,False,1
22,Советую всем! Качество на высоте.,2024-09-08,5,36,True,1
23,"Не мог поверить, что за такие деньги можно получить такой товар.",2024-09-07,5,61,False,1
24,"Давно искал такой товар, наконец нашел!",2024-09-06,5,46,True,1
25,"Очень понравилось, буду заказывать снова.",2024-09-05,5,44,False,1
26,"Этот продукт просто спас меня, лучший выбор!",2024-09-04,5,49,True,1
27,"Купил и не пожалел, качество отличное!",2024-09-03,5,46,False,1
28,"Отличное соотношение цены и качества, очень рад покупке!",2024-09-02,5,58,True,1
29,"Супер качество, всем рекомендую!",2024-09-01,5,36,False,1
30,Это просто находка! Куплю снова без раздумий.,2024-08-31,5,49,True,1
31,"Продукт великолепен, давно не был так доволен покупкой!",2024-08-30,5,55,False,1
32,"Не ожидал такого отличного качества, за такую цену просто находка.",2024-08-29,5,66,True,1
33,"Качество на высоте, закажу еще для всей семьи.",2024-08-28,5,52,False,1
34,"Доволен покупкой, идеальное соотношение цены и качества!",2024-08-27,5,58,True,1
35,"Удивительное качество, всем рекомендую!",2024-08-26,5,46,False,1
36,"Очень рад покупке, превзошло мои ожидания.",2024-08-25,5,49,True,1
37,"Все отлично, качество выше всяких похвал!",2024-08-24,5,47,False,1
38,"Советую всем, товар достойный! Буду брать еще.",2024-08-23,5,51,True,1
39,"За такую цену лучше не найти, товар супер!",2024-08-22,5,48,False,1
40,"Отличный продукт, буду заказывать еще!",2024-08-21,5,43,True,1
41,"Продукт удивил, за такую цену просто чудо.",2024-08-20,5,48,False,1
42,"Очень доволен, буду советовать всем друзьям!",2024-08-19,5,47,True,1
43,"Продукт превзошел мои ожидания, все супер!",2024-08-18,5,50,False,1
44,"Не думал, что товар будет таким качественным!",2024-08-17,5,49,True,1
45,"Товар очень понравился, буду заказывать еще.",2024-08-16,5,46,False,1
